                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.86339,                0.44156,                0.90725,                0.93533,                0.79619,                0.87354,                0.61758,                 1.0119,                0.52047,                  1.038,             0.00039626,             0.00039626,             0.00039626
                     75,                0.88777,                0.46094,                0.91091,                0.95108,                0.78851,                  0.885,                0.61911,                 1.0244,                 0.5174,                 1.0414,             0.00038211,             0.00038211,             0.00038211
                     76,                0.86936,                0.45228,                0.90623,                0.90074,                0.81551,                0.88787,                0.62316,                0.99965,                0.50256,                 1.0162,             0.00036797,             0.00036797,             0.00036797
                     77,                0.86003,                0.44317,                0.90428,                0.94764,                0.81503,                0.88445,                0.62202,                 1.0066,                 0.5105,                 1.0247,             0.00035382,             0.00035382,             0.00035382
                     78,                0.86274,                0.45073,                0.91197,                0.92603,                0.79028,                0.87846,                0.61274,                 1.0162,                0.51362,                 1.0253,             0.00033967,             0.00033967,             0.00033967
                     79,                0.84831,                0.44441,                0.90071,                0.94893,                0.79437,                0.88871,                 0.6139,                  1.027,                0.50853,                 1.0376,             0.00032553,             0.00032553,             0.00032553
                     80,                0.85756,                0.44054,                0.90067,                0.93823,                  0.788,                0.89023,                0.62025,                  1.009,                 0.5067,                 1.0219,             0.00031138,             0.00031138,             0.00031138
                     81,                0.84435,                0.44393,                0.90215,                 0.9333,                0.78947,                0.88931,                0.61123,                 1.0145,                0.51439,                 1.0292,             0.00029723,             0.00029723,             0.00029723
                     82,                0.83079,                0.43296,                0.90619,                0.92101,                0.79984,                0.89177,                0.61259,                 1.0207,                0.50847,                 1.0382,             0.00028308,             0.00028308,             0.00028308
                     83,                0.83426,                0.43211,                0.90162,                0.91789,                0.81549,                0.90791,                 0.6228,                 1.0228,                0.51083,                 1.0382,             0.00026894,             0.00026894,             0.00026894
                     84,                0.84763,                0.43859,                0.89992,                 0.9226,                0.81591,                0.90824,                0.62871,                 1.0083,                0.50107,                 1.0302,             0.00025479,             0.00025479,             0.00025479
                     85,                0.84176,                0.43128,                0.90031,                0.93499,                0.80763,                0.89722,                0.62273,                 1.0011,                0.49526,                 1.0268,             0.00024064,             0.00024064,             0.00024064
                     86,                0.82514,                0.42747,                0.90111,                0.93423,                0.79124,                0.89652,                0.60402,                 1.0197,                0.50632,                 1.0328,              0.0002265,              0.0002265,              0.0002265
                     87,                0.83855,                0.42423,                0.89467,                0.89664,                0.83399,                0.89872,                0.63122,                 1.0082,                0.50105,                 1.0237,             0.00021235,             0.00021235,             0.00021235
                     88,                0.85039,                0.43262,                0.88953,                0.94621,                0.78729,                0.90847,                0.64108,                0.98799,                0.48645,                 1.0213,              0.0001982,              0.0001982,              0.0001982
                     89,                0.82624,                0.42553,                0.89608,                0.93833,                0.81664,                0.91139,                0.63085,                 0.9924,                0.48661,                  1.027,             0.00018406,             0.00018406,             0.00018406
                     90,                0.81986,                0.42176,                0.89315,                0.87654,                0.88225,                0.91183,                0.63479,                  1.003,                 0.4907,                 1.0259,             0.00016991,             0.00016991,             0.00016991
                     91,                0.81501,                0.40393,                0.89017,                0.88562,                0.88129,                0.91114,                0.63144,                 1.0019,                0.47248,                 1.0346,             0.00015576,             0.00015576,             0.00015576
                     92,                0.79948,                0.38617,                0.88667,                0.92172,                0.81968,                0.91049,                0.63657,                  1.014,                0.48671,                 1.0395,             0.00014161,             0.00014161,             0.00014161
                     93,                0.79345,                  0.385,                0.88051,                0.90742,                0.82604,                0.90612,                0.62669,                 1.0151,                0.48224,                 1.0358,             0.00012747,             0.00012747,             0.00012747
                     94,                0.78037,                0.37867,                0.87128,                0.91225,                 0.8228,                0.90254,                0.62394,                0.99774,                0.48045,                  1.033,             0.00011332,             0.00011332,             0.00011332
                     95,                0.78386,                0.37666,                 0.8754,                0.91506,                0.82367,                0.91395,                 0.6321,                 1.0238,                0.48549,                 1.0477,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.77969,                0.37728,                0.88347,                0.91984,                0.82573,                 0.9142,                 0.6409,                 1.0042,                0.48302,                 1.0379,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.76143,                0.36945,                0.87382,                0.94023,                0.82492,                0.91396,                0.64159,                0.99839,                0.47945,                  1.035,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.77212,                0.36971,                0.87404,                0.92041,                0.83393,                0.90924,                0.63426,                 1.0049,                0.48244,                 1.0353,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.76345,                0.36958,                0.87179,                0.92345,                0.80498,                0.90931,                  0.639,                  1.005,                0.48119,                 1.0314,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.76941,                0.37177,                0.87028,                0.91706,                0.83473,                0.90779,                0.64016,                0.99909,                0.48037,                 1.0293,             2.8437e-05,             2.8437e-05,             2.8437e-05
